Delivery_person_Age,Delivery_person_Ratings,Road_traffic_density,Vehicle_condition,multiple_deliveries,Festival,Time_taken(min),Geo_Distance,Sunny,Fog,Motorcycle,Urban_Density,Hour,Night,Rush_Hour,month_even
37,4.9,3,2.0,0,0,24,3.0,1,0,1,2,11,0,0,0
34,4.5,4,2.0,1,0,33,20.0,0,0,0,3,19,0,0,0
23,4.4,1,0.0,1,0,26,1.0,0,0,1,2,8,0,1,0
38,4.7,2,0.0,1,0,21,7.0,1,0,1,3,18,0,1,0
32,4.6,3,1.0,1,0,30,6.0,0,1,0,3,13,0,0,0
22,4.8,4,0.0,1,0,26,4.0,0,1,1,2,21,0,0,0
33,4.7,4,1.0,1,0,40,16.0,0,1,0,3,19,0,0,1
35,4.6,2,2.0,1,0,32,20.0,0,1,1,3,17,0,1,0
22,4.8,4,0.0,1,0,34,19.0,0,0,1,3,21,0,0,0
36,4.2,4,2.0,3,0,46,10.0,0,1,1,3,22,1,0,1
21,4.7,3,1.0,1,0,23,6.0,0,0,1,3,15,0,0,1
23,4.7,2,1.0,1,0,21,13.0,0,0,0,3,17,0,1,1
34,4.3,1,0.0,0,0,20,2.0,0,0,1,3,9,0,1,1
24,4.7,4,1.0,1,0,41,19.0,0,1,0,3,20,0,0,1
29,4.5,4,2.0,1,0,20,13.0,0,0,0,3,20,0,0,1
35,4,3,1.0,1,0,33,6.0,0,0,0,3,15,0,0,0
33,4.2,4,2.0,1,0,40,16.0,0,0,1,3,20,0,0,0
21,4.7,4,0.0,1,0,15,4.0,0,0,1,2,21,0,0,1
25,4.1,4,0.0,2,0,36,12.0,0,0,1,3,20,0,0,0
31,4.7,1,2.0,0,0,26,19.0,0,0,0,3,22,1,0,1
37,5,1,1.0,1,0,20,1.0,0,0,1,3,8,0,1,0
33,4.3,4,2.0,1,0,39,20.0,0,0,0,3,19,0,0,0
25,4,3,1.0,1,0,34,6.0,0,1,1,3,12,0,0,0
29,4.5,2,2.0,1,0,15,17.0,1,0,0,3,18,0,1,0
27,5,4,0.0,0,0,18,4.0,0,0,1,2,20,0,0,0
35,4.3,1,1.0,0,0,38,13.0,0,1,0,3,23,1,0,1
32,4,4,0.0,1,0,47,13.0,0,0,1,3,21,0,0,0
23,4.8,1,2.0,0,0,12,16.0,0,0,0,2,23,1,0,1
31,4.8,1,2.0,1,0,26,4.0,0,0,1,3,22,1,0,0
36,4.1,1,0.0,1,0,22,7.0,0,0,1,2,22,1,0,0
26,4.3,1,0.0,0,0,21,7.0,0,0,1,2,23,1,0,0
38,4.9,3,1.0,1,0,25,6.0,0,1,0,2,13,0,0,0
32,3.5,4,1.0,0,0,35,17.0,0,0,0,2,21,0,0,1
32,4.6,1,2.0,1,0,30,19.0,0,1,0,3,22,1,0,1
33,4.9,2,1.0,1,0,22,10.0,1,0,1,3,19,0,0,1
20,4.7,3,1.0,0,0,10,6.0,0,0,0,2,14,0,0,0
20,4.8,1,2.0,1,0,19,1.0,0,0,0,3,11,0,0,0
35,5,1,2.0,1,0,11,3.0,1,0,0,2,9,0,1,0
26,4.9,1,2.0,0,0,11,3.0,0,0,0,3,8,0,1,0
22,4.8,1,1.0,1,0,28,10.0,0,1,1,3,23,1,0,0
35,4.3,2,1.0,1,0,33,10.0,0,1,1,3,17,0,1,0
37,4.7,4,0.0,3,0,52,13.0,0,0,1,3,19,0,0,1
28,4.6,4,1.0,1,0,22,16.0,0,0,0,3,19,0,0,1
37,4.9,1,1.0,1,0,16,3.0,0,1,0,2,11,0,0,1
23,4.9,4,2.0,0,0,11,9.0,1,0,0,3,21,0,0,0
27,4.9,2,1.0,1,0,25,9.0,0,0,0,3,19,0,0,0
37,4.8,2,0.0,1,0,26,6.0,0,1,1,2,16,0,1,0
33,5,3,2.0,1,0,18,1.0,1,0,0,3,11,0,0,0
